model_name,n,sdsize,sddepth,att,maa,mintrap
n40_90.bnet,40,6,2,3,0,3
n40_93.bnet,40,1,0,1,0,1
n40_92.bnet,40,4,2,2,0,2
n40_94.bnet,40,7,2,4,0,4
n40_91.bnet,40,27,3,8,0,8
n40_96.bnet,40,1,0,1,0,1
n40_95.bnet,40,7,2,4,0,4
n40_97.bnet,40,13,3,5,0,5
n40_98.bnet,40,30,4,6,0,6
n40_99.bnet,40,7,2,4,0,4
n80_0.bnet,80,3,1,2,0,2
n80_1.bnet,80,12,3,2,0,2
n80_12.bnet,80,3,2,1,0,1
n80_10.bnet,80,6,2,2,0,2
n80_11.bnet,80,5,2,2,0,2
n80_14.bnet,80,3,1,2,0,2
n80_13.bnet,80,5,2,3,0,3
n80_18.bnet,80,1,0,1,0,1
n80_15.bnet,80,1,0,1,0,1
n80_17.bnet,80,3,1,2,0,2
n80_19.bnet,80,1,0,1,0,1
n80_2.bnet,80,1,0,1,0,1
n80_20.bnet,80,6,2,3,0,3
n80_22.bnet,80,3,1,2,0,2
n80_23.bnet,80,3,1,2,0,2
n80_21.bnet,80,14,3,5,0,5
n80_24.bnet,80,7,2,4,0,4
n80_25.bnet,80,2,1,1,0,1
n80_26.bnet,80,5,1,4,0,4
n80_16.bnet,80,72,5,6,0,6
n80_28.bnet,80,1,0,1,0,1
n80_27.bnet,80,1,0,1,0,1
n80_30.bnet,80,3,1,2,0,2
n80_29.bnet,80,3,1,2,0,2
n80_3.bnet,80,5,3,1,0,1
n80_31.bnet,80,7,2,4,0,4
n80_32.bnet,80,1,0,1,0,1
n80_33.bnet,80,3,1,2,0,2
n80_37.bnet,80,3,1,2,0,2
n80_34.bnet,80,6,2,3,0,3
n80_35.bnet,80,7,3,3,0,3
n80_36.bnet,80,10,3,4,0,4
n80_38.bnet,80,3,1,2,0,2
n80_39.bnet,80,1,0,1,0,1
n80_41.bnet,80,3,1,2,0,2
n80_4.bnet,80,3,1,2,0,2
n80_40.bnet,80,5,1,4,0,4
n80_44.bnet,80,2,1,1,0,1
n80_45.bnet,80,4,2,2,0,2
n80_42.bnet,80,7,3,2,0,2
n80_46.bnet,80,2,1,1,0,1
n80_47.bnet,80,4,2,2,0,2
n80_43.bnet,80,13,3,4,0,4
n80_50.bnet,80,1,0,1,0,1
n80_48.bnet,80,3,1,2,0,2
n80_49.bnet,80,3,1,2,0,2
n80_5.bnet,80,8,3,3,0,3
n80_53.bnet,80,3,1,2,0,2
n80_52.bnet,80,3,1,2,0,2
n80_51.bnet,80,4,2,2,0,2
n80_55.bnet,80,1,0,1,0,1
n80_57.bnet,80,1,0,1,0,1
n80_56.bnet,80,6,2,2,0,2
n80_54.bnet,80,3,1,2,0,2
n80_6.bnet,80,2,1,1,0,1
n80_60.bnet,80,3,2,1,0,1
n80_58.bnet,80,11,4,2,0,2
n80_62.bnet,80,1,0,1,0,1
n80_59.bnet,80,17,3,6,0,6
n80_64.bnet,80,2,1,1,0,1
n80_61.bnet,80,13,2,8,0,8
n80_63.bnet,80,3,1,2,0,2
n80_66.bnet,80,1,0,1,0,1
n80_67.bnet,80,4,2,2,0,2
n80_65.bnet,80,9,3,4,0,4
n80_69.bnet,80,1,0,1,0,1
n80_68.bnet,80,17,2,12,0,12
n80_71.bnet,80,3,1,2,0,2
n80_70.bnet,80,7,3,2,0,2
n80_7.bnet,80,21,5,4,0,4
n80_74.bnet,80,1,0,1,0,1
n80_73.bnet,80,1,0,1,0,1
n320_97.bnet,320,15,3,4,0,4
n80_78.bnet,80,3,1,2,0,2
n80_75.bnet,80,2,1,1,0,1
n80_72.bnet,80,18,3,6,0,6
n80_76.bnet,80,14,3,5,0,5
n80_8.bnet,80,3,1,2,0,2
n80_79.bnet,80,3,2,1,0,1
n80_77.bnet,80,17,5,4,0,4
n80_81.bnet,80,1,0,1,0,1
n80_80.bnet,80,1,0,1,0,1
n80_82.bnet,80,1,0,1,0,1
n80_83.bnet,80,3,1,2,0,2
n80_88.bnet,80,1,0,1,0,1
n80_84.bnet,80,1,0,1,0,1
n80_86.bnet,80,3,1,2,0,2
n80_87.bnet,80,3,2,1,0,1
n80_85.bnet,80,9,2,4,0,4
n80_91.bnet,80,3,1,2,0,2
n80_9.bnet,80,3,1,2,0,2
n80_90.bnet,80,5,1,4,0,4
n80_89.bnet,80,5,2,3,0,3
n80_95.bnet,80,1,0,1,0,1
n80_94.bnet,80,3,1,2,0,2
n80_93.bnet,80,3,2,1,0,1
n80_96.bnet,80,3,1,2,0,2
n80_92.bnet,80,13,3,6,0,6
n80_99.bnet,80,3,1,2,0,2
n80_97.bnet,80,15,3,4,0,4
n80_98.bnet,80,10,3,3,0,3
n320_91.bnet,320,39,4,8,0,8
n320_89.bnet,320,49,4,16,0,16
